EVENT_CATEGORY,EVENT_GROUP,EVENT_SUBGROUP,EVENT_TYPE,PLACE,PROVINCE
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Geological,Landslide,Frank AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Calgary AB,AB
Disaster,Natural,Geological,Landslide,Upper Arrow Lake BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Red River MB,MB
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Nova Scotia,NS
Disaster,Natural,Geological,Landslide,Spences Bridge BC,BC
Disaster,Natural,Geological,Landslide,Notre-Dame-de-la-Salette QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Chester NB,NB
Disaster,Natural,Geological,Landslide,Burnaby and New Westminster BC,BC
Disaster,Natural,Meteorological - Hydrological,Avalanche,Rogers Pass BC,BC
Disaster,Natural,Geological,Landslide,St-Alphonse-de-Bagotville QC,QC
Disaster,Natural,Geological,Landslide,Coucoucache QC,QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Cochrane ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Regina SK,SK
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Lakes Huron, Erie and Ontario",ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Newfoundland coast,NL
Disaster,Natural,Meteorological - Hydrological,Flood,North Saskatchewan River AB and SK,SK
Disaster,Natural,Geological,Landslide,"Cooper Mine, Jane Camp BC",BC
Disaster,Natural,Meteorological - Hydrological,Flood,Northeastern New Brunswick,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Cochrane and Matheson ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Northwestern British Columbia,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern Ontario,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Southeastern Saskatchewan,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Icelandic River and Fisher River MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,"Saint John River, between Simonds and Woodstock NB",NB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Montreal QC,QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Waswanipi reserve QC,QC
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southern Alberta,AB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Grand Falls NL,NL
Disaster,Natural,Meteorological - Hydrological,Wildfire,Upper Gagetown and Burton NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Lake St. Clair ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Saskatchewan and Alberta,AB
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Montreal QC,QC
Disaster,Natural,Meteorological - Hydrological,Tornado,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Montreal QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Goulais River ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Northern British Columbia,BC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Whitedog Lake ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Duck Mountain and Swan River MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,"Lethbridge, Taber, Irma and Wainwright AB",AB
Disaster,Natural,Meteorological - Hydrological,Storm - Other,"Louiseville, Yamachiche and St.-Justin Region of Trois-Rivi̬res QC",QC
Disaster,Natural,Meteorological - Hydrological,Flood,Central and Southern Alberta,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Norman Wells NT,NT
Disaster,Natural,Meteorological - Hydrological,Flood,Lesser Slave Lake region AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Calgary AB,AB
Disaster,Natural,Geological,Earthquake,Saguenay region QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Albany and Attawapiskat River ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Montmartre SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Liard River NT,NT
Disaster,Natural,Meteorological - Hydrological,Wildfire,Northern Manitoba,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Radisson QC,QC
Disaster,Natural,Meteorological - Hydrological,Hurricane,Nova Scotia,NS
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern British Columbia,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Gulf of St. Lawrence QC,QC
Disaster,Natural,Geological,Earthquake,Ungava Peninsula QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Newfoundland,NL
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Calgary AB,AB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Old Crow YT,YT
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Avalanche,Banff AB,AB
Disaster,Natural,Meteorological - Hydrological,Tornado,Sarnia ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Western Alberta,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Woodstock NB,NB
Disaster,Natural,Meteorological - Hydrological,Tornado,Southern Ontario,ON
Disaster,Natural,Geological,Landslide,Joe Rich and Southern British Columbia,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern British Columbia,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Madeleine Islands QC,QC
Disaster,Natural,Meteorological - Hydrological,Avalanche,Bugaboo Glacier Provincial Park BC,BC
Disaster,Natural,Geological,Landslide,Notre-Dame de Pierreville QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Chaudi̬re River QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Old Crow YT,YT
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Betsiamites, Ragueneau et Baie-Comeau QC",QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Red Deer AB,AB
Disaster,Natural,Meteorological - Hydrological,Hurricane,Southern New Brunswick,NB
Disaster,Natural,Meteorological - Hydrological,Tornado,Maskinong̩ QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern British Columbia,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Calgary AB,AB
Disaster,Natural,Meteorological - Hydrological,Storm - Other,Vernon BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Northwestern British Columbia,BC
Disaster,Natural,Meteorological - Hydrological,Storm - Other,Central Ontario,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Lethbridge AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Elmira ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Peace River AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,"Sainte-Brigitte-de-Laval, about 40 km north of Qu̩bec City QC",QC
Disaster,Natural,Meteorological - Hydrological,Flood,Hay River NT,NT
Disaster,Natural,Meteorological - Hydrological,Flood,Attawapiskat ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Toronto ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Calgary AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Yukon Rivers YT,YT
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Avalon and Burin Peninsulas and Bonavista, Trinity and Conception Bays NL",NL
Disaster,Natural,Meteorological - Hydrological,Flood,Upper Saint John River Valley NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Saskatchewan,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec,QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Swan River MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Montreal and area QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Southern ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Southern ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Plaster Rock NB and Lower St. Lawrence Region QC,QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Southern Manitoba,MB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Saskatchewan,SK
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Southern Alberta,AB
Disaster,Natural,Meteorological - Hydrological,Wildfire,British Columbia,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec,QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Southwestern Manitoba,MB
Disaster,Natural,Meteorological - Hydrological,Tornado,Aylmer QC,QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Salmon Arm BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Southern Manitoba,MB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Southern ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Poplar Bay AB,AB
Disaster,Natural,Meteorological - Hydrological,Avalanche,Blanc Sablon QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Western MB,MB
Disaster,Natural,Meteorological - Hydrological,Hurricane,Burin Peninsula NL,NL
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Regina SK,SK
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Hamilton ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Sunny Valley AB,AB
Disaster,Natural,Meteorological - Hydrological,Drought,Grande Prairie AB,AB
Disaster,Natural,Meteorological - Hydrological,Storm - Other,South Dumfries ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Flat Bay NL,NL
Disaster,Natural,Meteorological - Hydrological,Tornado,"Grey County, Wellington and Dufferin County ON",ON
Disaster,Natural,Meteorological - Hydrological,Flood,Timmins and Dufferin County ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Atikokan ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,"Red River, Souris River, Assiniboine River and Pembina River MB",MB
Disaster,Natural,Meteorological - Hydrological,Flood,Lesser Slave Lake area AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Calgary AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Calgary AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Ottawa ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Nechako River BC,BC
Disaster,Natural,Biological,Epidemic,Bay of Fundy NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Durham ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Peace River AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,"Assiniboine, Red and Winnipeg Rivers MB",MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Timmins ON,ON
Disaster,Natural,Meteorological - Hydrological,Wildfire,Northwest of Matagami QC,QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Iroquois Falls, Kirkland Lake, Timmins areas ON",ON
Disaster,Natural,Meteorological - Hydrological,Flood,Lesser Slave Lake area AB,AB
Disaster,Natural,Geological,Landslide,Hummingbird Creek BC,BC
Disaster,Natural,Biological,Epidemic,Wood Buffalo National Park AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,45 miles southwest of the islands of Saint-Pierre-et-Miquelon,on
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River NB,NB
Disaster,Natural,Meteorological - Hydrological,Avalanche,Kangiqsualujjuaq QC,QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Swan Hills AB,AB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Calgary AB,AB
Disaster,Natural,Meteorological - Hydrological,Wildfire,Tibbet Lake NT,NT
Disaster,Natural,Meteorological - Hydrological,Wildfire,Salmon Arm BC,BC
Disaster,Natural,Meteorological - Hydrological,Winter Storm,"Greater Vancouver Area, Southern BC",BC
Disaster,Natural,Meteorological - Hydrological,Storm - Other,"Greater Vancouver Area, Southern BC",BC
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Barrie ON,ON
Disaster,Natural,Meteorological - Hydrological,Storm - Other,Southern BC,BC
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Toronto ON,ON
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Terrace BC,BC
Disaster,Natural,Meteorological - Hydrological,Wildfire,East of Lake Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Melita MB,MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,La Ronge SK,SK
Disaster,Natural,Meteorological - Hydrological,Wildfire,Beardmore ON,ON
Disaster,Natural,Meteorological - Hydrological,Wildfire,Burwash Landing YT,YT
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Kenora ON,ON
Disaster,Natural,Meteorological - Hydrological,Wildfire,Badger NL,NL
Disaster,Natural,Meteorological - Hydrological,Flood,Clearwater AB,AB
Disaster,Natural,Meteorological - Hydrological,Tornado,Drummondville QC,QC
